state,district,year,season,crop,area_ha
Andhra Pradesh,ANANTAPUR,1997,Kharif,Arhar/Tur,21400.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Bajra,1400.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Castor seed,1000.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Cotton(lint),7300.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Dry chillies,3700.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Groundnut,650800.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Horse-gram,3300.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Jowar,10100.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Korra,2200.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Maize,2800.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Moong(Green Gram),1300.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Other Kharif pulses,800.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Ragi,6700.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Rice,35600.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Sugarcane,700.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Sunflower,35900.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Tobacco,200.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Dry chillies,100.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Gram,28000.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Groundnut,20200.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Horse-gram,600.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Jowar,18800.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Korra,100.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Maize,600.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Ragi,600.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Rice,18000.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Sunflower,30100.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Wheat,300.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Arhar/Tur,27400.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Bajra,2600.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Castor seed,3200.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Cotton(lint),14000.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Dry chillies,4000.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Groundnut,755200.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Horse-gram,2300.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Jowar,3700.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Korra,4600.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Maize,3300.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Moong(Green Gram),2100.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Other Kharif pulses,2000.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Ragi,7000.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Rice,38300.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Sunflower,21300.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Dry chillies,200.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Gram,26200.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Groundnut,25900.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Horse-gram,700.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Jowar,14800.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Maize,300.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Ragi,700.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Rice,26600.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Sunflower,13500.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Wheat,400.0
Andhra Pradesh,ANANTAPUR,1998,Whole Year,Sugarcane,700.0
Andhra Pradesh,ANANTAPUR,1998,Whole Year,Tobacco,100.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Bajra,1635.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Castor seed,1880.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Cotton(lint),9453.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Groundnut,694865.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Horse-gram,1762.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Jowar,11131.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Maize,3358.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Masoor,23117.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Moong(Green Gram),1546.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Ragi,6215.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Rice,37991.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Sesamum,8.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Urad,4.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Bajra,99.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Gram,26835.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Groundnut,21785.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Horse-gram,1071.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Jowar,21487.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Linseed,12.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Maize,455.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Masoor,98.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Moong(Green Gram),1.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Ragi,734.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Rice,20258.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Safflower,881.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Sesamum,10.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Wheat,439.0
Andhra Pradesh,ANANTAPUR,1999,Whole Year,Dry chillies,5199.0
Andhra Pradesh,ANANTAPUR,1999,Whole Year,Onion,1770.0
Andhra Pradesh,ANANTAPUR,1999,Whole Year,Sugarcane,884.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Arhar/Tur,30693.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Bajra,2477.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Castor seed,9315.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Cotton(lint),12025.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Dry chillies,3755.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Gram,21.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Groundnut,791559.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Horse-gram,601.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Jowar,5071.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Korra,1626.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Maize,3475.0
